Compound ID,measured log(solubility:mol/L),SMILES
mobley_8127829,-0.79,CCc1ccccc1
mobley_7983227,-4.42,CC[C@@H](C)CO
mobley_2390199,-2.92,CCCC(=O)CCC
mobley_2960202,-3.71,c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
mobley_5326154,-3.45,CN(C)c1ccccc1
mobley_7176290,-9.62,c1cc(cc(c1)O)[N+](=O)[O-]
mobley_6334915,-12.74,COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC
mobley_6497672,-4.22,C/C=C/C=O
mobley_5665561,-2.47,Cc1cc(c2ccccc2c1)C
mobley_4850657,-4.87,CS(=O)(=O)Cl
mobley_8809190,-0.4,CCCCc1ccccc1
mobley_1743409,-5.71,CCOC(=O)CCC(=O)OCC
mobley_900088,0.4,CC(=C)C(=C)C
mobley_5759258,-4.57,CCCCCO
mobley_7608435,-2.04,CCCCCCCC(=O)OC
mobley_3006808,-4.31,C(C(F)(F)F)O
mobley_6303022,-4.73,CCc1ccncc1
mobley_7047032,1.09,CC(C)(C)Cl
mobley_1708457,-10.08,CS(=O)(=O)C
mobley_1079207,-0.98,c1cc(cc(c1)Cl)Cl
mobley_8573194,-3.18,CCCC=O
mobley_7375018,-2.15,CCCCCCCCCC(=O)C
mobley_4792268,-6.16,CCCCC(=O)O
mobley_1520842,-4.93,Cc1ccncc1
mobley_5520946,-2.55,c1ccc(cc1)S
mobley_2005792,-2.7,c1ccc(cc1)c2ccccc2
mobley_7688753,-9.52,c1cc(cc(c1)O)C=O
mobley_1723043,3.43,C1(C(C(C1(F)F)(F)F)(F)F)(F)F
mobley_7860938,-3.24,CCCCNCCCC
mobley_4845722,-2.33,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl
mobley_3709920,2.06,CCCCCCCC=C
mobley_7542832,-1.16,CCCOCCC
mobley_2492140,-1.23,C(C(Cl)(Cl)Cl)(Cl)Cl
mobley_8899867,-5.49,C1CCC(C1)O
mobley_5371840,-3.1,c1ccc2c(c1)Oc3ccc(cc3O2)Cl
mobley_2929847,-6.09,CC(C)CC(=O)O
mobley_8006582,1.2,C1CCCC1
mobley_2146331,-2.75,C=O
mobley_2099370,-10.78,C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O
mobley_3968043,-4.7,C1CCC(=O)C1
mobley_3323117,-8.61,C1CC[S+2](C1)([O-])[O-]
mobley_4043951,1.68,CCCC=C
mobley_8705848,-3.22,CC(C)NC(C)C
mobley_2484519,-1.93,c1ccc(cc1)CCl
mobley_547634,-2.78,Cc1cc2ccccc2cc1C
mobley_8311321,-0.5,C(F)(F)Cl
mobley_3318135,-2.64,CCCCC(=O)CCCC
mobley_3761215,-0.19,CC(Cl)(Cl)Cl
mobley_282648,-2.4,c1ccc2ccccc2c1
mobley_3183805,-0.86,Cc1ccc(c(c1)C)C
mobley_1717215,-2.78,COC=O
mobley_5600967,-11.01,CN(C)C(=O)c1ccc(cc1)OC
mobley_6794076,-7.62,CC(=O)c1ccncc1
mobley_6055410,-9.4,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O
mobley_7393673,-5.33,COc1ccc(cc1)C(=O)OC
mobley_7676709,-4.51,CC1=CC(=O)[C@@H](CC1)C(C)C
mobley_2845466,-3.37,c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl
mobley_9197172,1.92,CCCCCCC=C
mobley_9055303,2.0,C
mobley_6935906,-2.49,CC(=CCC[C@](C)(C=C)OC(=O)C)C
mobley_7239499,-3.52,c1ccc2c(c1)Oc3cccc(c3O2)Cl
mobley_4193752,-4.12,c1ccc(cc1)[N+](=O)[O-]
mobley_2844990,-3.84,c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl
mobley_2925352,-6.13,Cc1ccc(cc1)O
mobley_5346580,-3.11,CC(=O)C(C)(C)C
mobley_1923244,2.1,CCCC
mobley_3690931,-2.28,CCCC(=O)OCCC
mobley_6359135,0.08,C(Cl)(Cl)(Cl)Cl
mobley_1857976,-1.79,C(CCl)Cl
mobley_718988,-3.79,CCCCCCCN
mobley_1160109,-3.75,C[C@@H]1CC[C@H](CC1=O)C(=C)C
mobley_4584540,-4.59,Cc1cccc(n1)C
mobley_7573149,-2.79,CCCOC(=O)C
mobley_7758918,-6.46,CCC(=O)O
mobley_1178614,-4.55,c1ccc(c(c1)O)Cl
mobley_4218209,-7.48,COc1ccc(cc1)N
mobley_7988076,-8.83,c1cc(ccc1C=O)O
mobley_6854178,-2.02,CC(C)OC=O
mobley_6175884,-4.27,Cc1ccc(cc1)C=O
mobley_6235784,0.0,CC[C@H](C)Cl
mobley_9100956,1.7,CC1CCCCC1
mobley_5026370,-6.02,c1cnccc1C#N
mobley_3762186,-1.31,C(Cl)Cl
mobley_1977493,-0.33,CCCCl
mobley_9626434,-6.69,CCOCCO
mobley_1396156,-5.22,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O
mobley_9507933,-4.72,Cc1ccc(nc1)C
mobley_9913368,-0.78,C(=C/Cl)\Cl
mobley_3167746,2.88,CCCCCCCC
mobley_2725802,-9.8,CC(=O)N1CCCC1
mobley_4678740,1.07,c1cc(cc(c1)C(F)(F)F)C(F)(F)F
mobley_242480,-11.85,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N
mobley_5445548,-0.3,CC(C)c1ccccc1
mobley_8823527,-3.61,c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl
mobley_1019269,-4.72,CCCCO
mobley_1755375,-5.26,Cc1cccc(c1O)C
mobley_4371692,-9.53,c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N
mobley_1139153,2.89,CC(C)CC(C)(C)C
mobley_5471704,-2.21,CC(C)CCOC(=O)C
mobley_6060301,-3.95,CCCCCCN
mobley_588781,-0.04,CCCCCCc1ccccc1
mobley_2354112,-6.25,CCc1cccc(c1)O
mobley_5747188,-3.58,Cc1ccccc1[N+](=O)[O-]
mobley_8772587,-0.25,CCCCI
mobley_5456566,-2.98,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl
mobley_2371092,-5.22,Cc1ccncc1C
mobley_1328936,-6.88,COC(=O)c1ccc(cc1)[N+](=O)[O-]
mobley_5499659,-8.41,Cn1ccnc1
mobley_2792521,-3.68,CCC/C=C/C=O
mobley_9974966,-1.21,CC(C)SC(C)C
mobley_6733657,-3.44,C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
mobley_6082662,-9.82,c1cc(ccc1N)N(=O)=O
mobley_2310185,-5.0,CCO
mobley_7099614,-0.57,C=CCCl
mobley_7859387,-2.67,CCCCCCC=O
mobley_63712,-3.88,CN1CCCCC1
mobley_3060426,2.93,CC(C)CCC(C)(C)C
mobley_7360181,-0.8,COC(C(F)(F)F)(OC)OC
mobley_5282042,-7.43,CN(C)CCC=C1c2ccccc2CCc3c1cccc3
mobley_2607611,-2.26,CCCCCCOC(=O)C
mobley_1036761,-4.59,C1CCC(CC1)N
mobley_4893032,-3.52,CCCCC#N
mobley_8558116,-6.32,CN1CCOCC1
mobley_5518547,-5.57,Cc1ccc(cc1)N
mobley_3378420,-3.88,CCCCCCCCCO
mobley_9794857,-2.21,CC(C)(C)OC
mobley_6456034,-1.69,CC(C)COC(=O)C(C)C
mobley_3573480,-3.04,CCCCCC(=O)C
mobley_676247,3.12,C(F)(F)(F)F
mobley_5760563,-5.1,COS(=O)(=O)OC
mobley_8754702,-2.48,CCCOC=O
mobley_1424265,-0.83,Cc1cccc(c1)C
mobley_3169935,-4.91,c1ccc(c(c1)N)Cl
mobley_5311804,-6.62,c1ccc(cc1)CO
mobley_6115639,-8.7,COP(=O)(OC)OC
mobley_6714389,-4.55,CN
mobley_9015240,0.52,CCCCCCCCBr
mobley_1417007,-9.01,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl
mobley_2681549,-0.78,c1c(cc(cc1Cl)Cl)Cl
mobley_4287564,-4.63,Cc1ccccn1
mobley_2043882,-3.9,CC(=O)C1CCCCC1
mobley_352111,-6.34,CC(=O)OCCOC(=O)C
mobley_3686115,-3.28,CCOC(C)OCC
mobley_8337722,-3.2,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C
mobley_7326706,-5.04,CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl
mobley_3144334,-5.91,Cc1ccc(c(c1)O)C
mobley_7608462,-1.12,c1ccc(cc1)Cl
mobley_5973402,-4.42,CC(C)CCO
mobley_6353617,-8.26,CC(=O)c1cccnc1
mobley_2261979,-3.15,c1cc2cccc3c2c(c1)CC3
mobley_4715906,1.58,C[C@@H]1CCCC[C@@H]1C
mobley_5952846,0.1,C(=C(Cl)Cl)(Cl)Cl
mobley_1903702,-4.62,CC[C@H](C)O
mobley_5220185,-5.45,CCc1cnccn1
mobley_5510474,-3.81,c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
mobley_3980099,-1.24,c1cc(c(c(c1)Cl)Cl)Cl
mobley_2501588,-2.45,CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
mobley_3968739,-3.92,COC(=O)c1ccccc1
mobley_9897248,-4.78,CC(=CCC/C(=C\CO)/C)C
mobley_3727287,-6.5,C1=CC(=O)C=CC1=O
mobley_4924862,-2.13,CC(C)CCOC=O
mobley_6620221,-9.61,CC1(Cc2cccc(c2O1)OC(=O)NC)C
mobley_3370989,-0.11,CC(F)F
mobley_6232400,-7.1,c1cc(cnc1)C=O
mobley_5056289,-3.3,C[C@H]1CCCO1
mobley_6358463,1.07,c1ccc(c(c1)C(F)(F)F)C(F)(F)F
mobley_1261349,2.51,CC(C)(C)C
mobley_1363784,-4.84,Cc1cc(cnc1)C
mobley_628086,-4.16,C[C@@H](C(F)(F)F)O
mobley_7599023,-1.46,c1ccc(cc1)Br
mobley_7039935,-7.67,c1ccc2c(c1)cccc2O
mobley_1662128,1.38,CCC=C
mobley_9510785,-3.48,c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl
mobley_4465023,-1.17,C(=C\Cl)\Cl
mobley_4364398,-0.89,CI
mobley_6917738,-6.55,COCCN
mobley_7943327,-2.68,CCC(=O)OCC
mobley_8118832,-5.03,C=CCO
mobley_5076071,-5.66,CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-]
mobley_20524,-6.6,c1ccc(cc1)O
mobley_7378987,-12.64,Cn1cnc2c1c(=O)n(c(=O)n2C)C
mobley_7227357,-4.35,CCC(CC)O
mobley_9139060,2.11,CC1CCC(CC1)C
mobley_2996632,-1.08,C(Cl)(Cl)Cl
mobley_9073553,-1.61,CSC
mobley_397645,-3.64,CCOC(=O)c1ccccc1
mobley_2518989,-5.74,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O
mobley_3047364,-7.65,CCNc1nc(nc(n1)SC)NC(C)C
mobley_5857,-5.72,c1ccc2c(c1)cccn2
mobley_197466,-4.61,CC(=O)C1CC1
mobley_2068538,2.0,CCC
mobley_967099,-3.13,CC(C)[N+](=O)[O-]
mobley_1792062,-2.33,C(CBr)Br
mobley_7203421,-9.31,CCCCCC(=O)N
mobley_7912193,-8.72,CCCCOC(=O)c1ccc(cc1)O
mobley_7200804,-5.29,c1ccc(c(c1)O)F
mobley_5094777,-1.46,c1ccc2c(c1)CCC2
mobley_4561957,2.34,CC(C)C(C)C
mobley_5852491,1.59,CC1CCCC1
mobley_1987439,-0.9,Cc1cc(cc(c1)C)C
mobley_8492526,-3.03,CCCCC=O
mobley_4494568,-1.39,Cc1ccc(cc1)Br
mobley_7869158,-1.82,CC[C@H](C)O[N+](=O)[O-]
mobley_7893124,-0.44,CC(C)(C)c1ccccc1
mobley_5880265,-6.25,CCCCOCCO
mobley_8691603,-5.49,Cc1cccc(c1)O
mobley_2693089,-5.04,CC(C)Cc1cnccn1
mobley_8525830,-0.14,CCCCCI
mobley_6239320,-18.06,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1
mobley_4506634,-0.11,[C@@H](C(F)(F)F)(Cl)Br
mobley_6430250,-0.53,CCCc1ccccc1
mobley_8685905,0.5,[C@@H](C(F)(F)F)(F)Br
mobley_2451097,-4.1,c1ccc(cc1)C#N
mobley_6102880,-2.87,c1ccc(cc1)Oc2ccccc2
mobley_337666,-16.92,c1c(c(=O)[nH]c(=O)[nH]1)F
mobley_1893937,0.0,CCCCCCCl
mobley_1827204,-2.81,CCCCCC=O
mobley_2913224,-9.94,CC(=O)Oc1ccccc1C(=O)O
mobley_5561855,-1.96,c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl
mobley_1592519,-2.23,CCCCCC(=O)OCC
mobley_2517158,0.34,CCCCCCCBr
mobley_6250025,0.08,CCCCCCI
mobley_8789864,-6.4,COC(CC#N)(OC)OC
mobley_3325209,-4.04,COC(c1ccccc1)(OC)OC
mobley_1875719,-3.41,CCC(=O)CC
mobley_9112978,1.31,CC/C=C\C
mobley_5692472,-4.29,CNC
mobley_2972345,-3.78,c1ccc2c(c1)Cc3ccccc3C2
mobley_3976574,-4.15,c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2
mobley_8966374,-5.51,Cc1cnccn1
mobley_5732611,-10.27,Cc1c[nH]cn1
mobley_7298388,-3.45,Cc1cccc(c1)[N+](=O)[O-]
mobley_3269819,-3.17,c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl
mobley_3802803,-1.66,CCCCCCO[N+](=O)[O-]
mobley_7497999,-4.58,CC(=O)c1ccccc1
mobley_8208692,-4.61,c1c(c(c(c(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2Cl)Cl)Cl)Cl
mobley_1199854,-0.53,CCCI
mobley_3867265,-3.8,CC(=O)C
mobley_5072416,-6.12,COc1ccccc1N
mobley_2489709,-1.36,c1ccc(c(c1)Cl)Cl
mobley_2481002,-1.45,C([N+](=O)[O-])(Cl)(Cl)Cl
mobley_1034539,-3.04,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
mobley_9460824,-4.37,CCOP(=S)(OCC)SCSCC
mobley_8882696,-3.47,C1CCOC1
mobley_8916409,-8.15,CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC
mobley_1770205,-10.03,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1
mobley_3982371,-3.13,CC(=O)OC
mobley_2659552,-9.76,Cc1ccc(cc1)C(=O)N(C)C
mobley_2422586,-1.66,CCCOC
mobley_2725215,-7.98,CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-]
mobley_9571888,-4.23,C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
mobley_3777264,-8.84,c1cc(cc(c1)[N+](=O)[O-])N
mobley_6006813,-3.09,CCCC[N+](=O)[O-]
mobley_1636752,-5.1,CO
mobley_3525176,-0.23,CCCCCc1ccccc1
mobley_1905088,-2.38,c1ccc(cc1)CBr
mobley_637522,-3.95,c1ccc2cc3ccccc3cc2c1
mobley_1615431,-0.53,CC(C)OC(C)C
mobley_9281946,-6.74,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-]
mobley_1469079,-3.56,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl
mobley_4603202,-4.23,C(CCl)OCCCl
mobley_2341732,-2.56,CCCCC(=O)OC
mobley_6981465,-2.64,CC(C)OC(=O)C
mobley_1527293,-8.42,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O
mobley_2328633,2.55,CCCCCC1CCCC1
mobley_3259411,-13.43,C(C(CO)O)O
mobley_5393242,-6.48,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C
mobley_9624458,-1.89,C(CCl)CCl
mobley_2316618,-14.21,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO
mobley_349850,-4.7,Cc1ccc(cc1)C(=O)C
mobley_186894,-1.1,CCCS
mobley_7463408,-7.78,CCC(=O)Nc1ccc(c(c1)Cl)Cl
mobley_4609460,-9.2,CCOC(=O)c1ccc(cc1)O
mobley_2049967,-1.5,CCSC
mobley_4759887,0.27,CCCCCCCI
mobley_4395315,-6.79,Cc1cc(ccc1Cl)O
mobley_2850833,-4.68,c1ccc(c(c1)C=O)O
mobley_511661,0.56,C=CC=C
mobley_4463913,-4.97,CC(OC(=O)C)OC(=O)C
mobley_6632459,-3.43,CCC=O
mobley_2183616,-0.45,CC[C@H](C)c1ccccc1
mobley_6416775,2.13,CCCC1CCCC1
mobley_902954,-2.09,CCCCO[N+](=O)[O-]
mobley_2523689,-16.43,c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl
mobley_3969312,-4.02,c1ccc(cc1)C=O
mobley_6248915,-3.65,CCCCCCCCN
mobley_1881249,-3.52,CCCC(=O)C
mobley_8449031,-3.22,CCN(CC)CC
mobley_5467162,-5.91,CC(C)(C)c1ccc(cc1)O
mobley_6522117,-7.07,CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl
mobley_7977115,-4.06,CCC[C@H](CC)O
mobley_8809274,-0.25,c1ccc(cc1)C(F)(F)F
mobley_5063386,-4.58,c1ccc(c(c1)[N+](=O)[O-])O
mobley_2958326,-3.65,CCCNCCC
mobley_8052240,-9.44,c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N
mobley_1760914,-1.14,Cc1ccccc1Cl
mobley_2402487,-6.0,CCOC(=O)CC(=O)OCC
mobley_4059279,-7.58,CN1CCN(CC1)C
mobley_9733743,-4.24,CCCCN
mobley_252413,2.88,CCCC(C)(C)C
mobley_1144156,-1.59,CCOCC
mobley_2972906,-1.4,c1ccsc1
mobley_3266352,-1.92,CN(CC(F)(F)F)c1ccccc1
mobley_1231151,-0.25,CC(C)Cl
mobley_4035953,-5.9,Cc1ccccc1O
mobley_1650157,-4.47,CC(C)(C)O
mobley_299266,1.16,CC(=C)C
mobley_7774695,-4.69,CNc1ccccc1
mobley_7066554,-7.03,c1cc(ccc1O)Cl
mobley_7326982,-4.74,CC(C)O
mobley_7009711,-6.27,Cc1cc(cc(c1)O)C
mobley_9705941,-1.38,Cc1cccs1
mobley_4149784,-3.67,c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl
mobley_2213823,2.51,CCC(C)CC
mobley_7754849,-6.1,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
mobley_8885088,0.56,C1CC=CC1
mobley_3359593,-5.26,CCCc1ccc(c(c1)OC)O
mobley_7417968,-5.31,CCOCCOC(=O)C
mobley_9653690,-4.44,CC1=CC[C@H](C[C@@H]1O)C(=C)C
mobley_4699732,-1.27,C[C@@H](CCl)Cl
mobley_4305650,-3.84,CCC#N
mobley_628951,-2.28,c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl
mobley_4883284,-5.49,c1ccc(cc1)N
mobley_3210206,-4.95,C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-]
mobley_2802855,-0.4,CCCCBr
mobley_1803862,2.38,CCC(C)C
mobley_1858644,-6.79,c1ccc(cc1)CCO
mobley_8467917,1.68,CCCC/C=C/C
mobley_7017274,-3.88,c1ccc2c(c1)ccc3c2cccc3
mobley_8746821,-4.82,Cc1cccnc1C
mobley_4177472,2.56,CC(C)C(C)C(C)C
mobley_8522124,0.71,CCCCCCC#C
