Compound ID,measured log(solubility:mol/L),SMILES
"1,2-Diethoxyethane ",-0.77,CCOCCOCC
"1,2-Diethylbenzene",-3.28,CCc1ccccc1CC
"1,2-Dinitrobenzene",-3.1,O=N(=O)c1ccccc1N(=O)=O
"1,2-Propylene oxide",-0.59,CC1CO1
"1,3,5-Tribromobenzene",-5.6,Brc1cc(Br)cc(Br)c1
"1,3,5-Trichlorobenzene",-4.48,Clc1cc(Cl)cc(Cl)c1
"1,3,5-Trimethylbenzene ",-3.4,Cc1cc(C)cc(C)c1
"1,3,5-Trinitrobenzene",-2.89,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
"1,3-Benzenediol",0.81,Oc1cccc(O)c1
"1,3-Butadiene",-1.87,C=CC=C
"1,3-Dibromobenzene",-3.54,Brc1cccc(Br)c1
"1,3-Dichlorobenzene",-3.04,Clc1cccc(Cl)c1
"1,3-Dichloropropane",-1.62,ClCCCCl
"1,3-diethylthiourea",-1.46,CCNC(=S)NCC
"1,3-Difluorobenzene",-2.0,Fc1cccc(F)c1
"1,3-Dimethylnaphthalene",-4.29,Cc1cc(C)c2ccccc2c1
"1,3-Dinitrobenzene",-2.29,O=N(=O)c1cccc(c1)N(=O)=O
"1,4-Benzenediol",-0.17,Oc1ccc(O)cc1
"1,4-Cyclohexadiene",-2.06,C1C=CCC=C1
"1,4-Dibromobenzene",-4.07,Brc1ccc(Br)cc1
"1,4-Dichlorobenzene",-3.27,Clc1ccc(Cl)cc1
"1,4-Diethylbenzene ",-3.75,CCc1ccc(CC)cc1
"1,4-Difluorobenzene",-1.97,Fc1ccc(F)cc1
"1,4-Dimethylnaphthalene ",-4.14,Cc1ccc(C)c2ccccc12
"1,4-Dinitrobenzene",-3.39,O=N(=O)c1ccc(cc1)N(=O)=O
"1,4-Pentadiene ",-2.09,C=CCC=C
"1,5-Dimethlnapthalene",-4.679,Cc1cccc2c(C)cccc12
"1,5-Hexadiene ",-2.68,C=CCCC=C
"1,7-phenantroline",-2.68,c1cnc2c(c1)ccc3ncccc23
"1,8-Cineole",-1.74,CC12CCC(CC1)C(C)(C)O2
17a-Methyltestosterone,-3.999,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
1-aminoacridine,-4.22,Nc2cccc3nc1ccccc1cc23 
1-Bromo-2-methylpropane,-2.43,CC(C)CBr
1-Bromobutane,-2.37,CCCCBr
1-Bromoheptane,-4.43,CCCCCCCBr
1-Bromohexane,-3.81,CCCCCCBr
1-Bromonapthalene,-4.35,Brc1cccc2ccccc12
1-Bromooctane,-5.06,CCCCCCCCBr
1-Bromopentane,-3.08,CCCCCBr
1-Bromopropane,-1.73,CCCBr
1-Butanol,0.0,CCCCO
1-Butene,-1.94,CCC=C
1-Butyne,-1.24,CCC#C
1-Chloro-2-bromoethane,-1.32,ClCCBr
1-Chloro-2-methylpropane,-2.0,ClCC(C)C
1-Chlorobutane,-2.03,CCCCCl
1-Chloroheptane,-4.0,CCCCCCCCl
1-Chlorohexane,-3.12,CCCCCCCl
1-Chloronapthalene,-3.93,Clc1cccc2ccccc12
1-Chloropentane,-2.73,CCCCCCl
1-Chloropropane,-1.47,CCCCl
1-Decanol,-3.63,CCCCCCCCCCO
1-Decene,-5.51,CCCCCCCCC=C
1-Dodecanol,-4.8,CCCCCCCCCCCCO
1-Ethylnaphthalene ,-4.17,CCc1cccc2ccccc12
1-Heptanol,-1.81,CCCCCCCO
1-Heptene,-3.73,CCCCCC=C
1-Heptyne,-3.01,CCCCCC#C
1-Hexadecanol,-7.0,CCCCCCCCCCCCCCCCO
1-Hexanol,-1.24,CCCCCCO
1-Hexene,-3.23,CCCCC=C
1-Hexene-3-ol,-0.59,CCCC(O)C=C
1-Hexyne ,-2.36,CCCCC#C
1-Iodobutane,-2.96,CCCCI
1-Iodoheptane,-4.81,CCCCCCCI
1-Iodonapthalene,-4.55,Ic1cccc2ccccc12
1-Iodopropane,-2.29,CCCI
1-Methylcyclohexene ,-3.27,CC1=CCCCC1
1-Methylfluorene,-5.22,Cc1cccc2c1Cc3ccccc32
1-Methylnaphthalene,-3.7,Cc1cccc2ccccc12
1-Methylphenanthrene,-5.85,Cc1cccc2c1ccc3ccccc32
1-methyluracil,-0.807,Cn1ccc(=O)[nH]c1=O
1-Napthol,-2.22,Oc1cccc2ccccc12
1-Napthylamine,-1.92,Nc1cccc2ccccc12
1-Nitronapthalene,-3.54,O=N(=O)c1cccc2ccccc12
1-Nitropropane,-0.8,CCCN(=O)=O
1-Nonanol,-3.01,CCCCCCCCCO
1-Nonene ,-5.05,CCCCCCCC=C
1-Nonyne ,-4.24,CCCCCCCC#C
1-Octadecanol,-8.4,CCCCCCCCCCCCCCCCCCO
1-Octanol,-2.39,CCCCCCCCO
1-Octene ,-4.44,CCCCCCC=C
1-Octyne ,-3.66,CCCCCCC#C
1-Pentadecanol,-6.35,CCCCCCCCCCCCCCCO
1-Pentanol,-0.6,CCCCCO
1-Pentene ,-2.68,CCCC=C
1-Pentyne,-1.64,CCCC#C
1-Phenylethanol,-0.92,CC(O)c1ccccc1
1-Propanol,0.62,CCCO
1-Tetradecanol,-5.84,CCCCCCCCCCCCCCO
"2,2',3,3',4,4',5,5',6,6'-PCB",-11.6,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl 
"2,2',3,3',4,4',5,5'-PCB",-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,3',4,4'-PCB",-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
"2,2',3,3',5,5',6,6'-PCB",-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
"2,2',3,3',5,6-PCB",-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
"2,2',3,3'-PCB",-7.28,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
"2,2',3,4,4',5',6-PCB",-7.92,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,4,5,5',6-PCB",-8.94,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,4,5,5'-PCB",-7.68,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
"2,2',3,4,5-PCB",-7.21,Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl 
"2,2',3,4,6-PCB",-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl 
"2,2',3,5,5',6-PCB",-7.42,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl 
"2,2',3,5'-PCB",-6.47,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl 
"2,2,3-Trimethylbutane",-4.36,CC(C)C(C)(C)C
"2,2',4,4',5,5'-PCB",-8.56,Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl 
"2,2',4,4',6,6'-PCB",-8.71,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl 
"2,2',4,5'-PCB",-6.57,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
"2,2,4,6,6'-PCB",-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
"2,2,4-Trimethylpentane",-4.74,CC(C)CC(C)(C)C
"2,2,5-Trimethylhexane",-5.05,CC(C)CCC(C)(C)C
"2,2',6,6'-PCB",-7.39,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl 
"2,2-Dimethyl-1-butanol",-1.04,CCC(C)(C)CO
"2,2-Dimethylbutane",-3.55,CCC(C)(C)C
"2,2-Dimethylpentane",-4.36,CCCC(C)(C)C
"2,2-Dimethylpentanol",-1.52,CCCC(C)(C)CO
"2,2-Dimethylpropanol",-0.4,CC(C)(C)CO
"2,2'-PCB",-5.27,Clc1ccccc1c2ccccc2Cl 
"2,3,3',4,4',5-PCB",-7.82,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3,3',4,4'6-PCB",-7.66,Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl 
"2,3',4,4',5-PCB",-7.39,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl 
"2,3',4,4'-PCB",-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
"2,3,4,5,6-PCB",-7.92,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl 
"2,3',4',5-PCB",-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
"2,3,4,5-Tetrachlorophenol",-3.15,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
"2,3,4,6-Tetrachlorophenol",-3.1,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
"2',3,4-PCB",-6.29,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
"2,3,4-Trichlorophenol",-2.67,Oc1ccc(Cl)c(Cl)c1Cl
"2,3,4-Trimethylpentane",-4.8,CC(C)C(C)C(C)C
"2,3,5,6-Tetrachlorophenol",-3.37,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
"2,3',5-PCB",-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
"2,3,5-Trichlorophenol",-2.67,Oc1cc(Cl)cc(Cl)c1Cl
"2,3,6-Trichlorophenol",-2.64,Oc1c(Cl)ccc(Cl)c1Cl
"2,3-Dichloronitrobenzene",-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1
"2,3-Dichlorophenol",-1.3,Oc1cccc(Cl)c1Cl
"2,3-Dimethyl-1,3-Butadiene",-2.4,CC(=C)C(=C)C
"2,3-Dimethylbutane",-3.65,CC(C)C(C)C
"2,3-Dimethylnaphthalene",-4.72,Cc1cc2ccccc2cc1C
"2,3-Dimethylpentane",-4.28,CCC(C)C(C)C
"2,3-Dimethylpyridine",0.38,Cc1cccnc1C
"2,4,5-PCB",-6.27,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
"2,4,5-Trichlorophenol ",-2.21,Oc1cc(Cl)c(Cl)cc1Cl
"2,4,6-PCB",-6.14,Clc1ccc(cc1)c2c(Cl)cccc2Cl 
"2,4,6-Trichlorophenol",-2.34,Oc1c(Cl)cc(Cl)cc1Cl
"2,4,6-Trimethylphenol",-2.05,Cc1cc(C)c(O)c(C)c1
"2,4,6-Trinitrotoluene",-3.22,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
"2,4-Dichlorophenol ",-1.55,Oc1ccc(Cl)cc1Cl
"2,4-Dimethyl-2-pentanol ",-0.92,CC(C)CC(C)(C)O
"2,4-Dimethyl-3-pentanol",-1.22,CC(C)C(O)C(C)C
"2,4-Dimethyl-3-pentanone",-1.3,CC(C)C(=O)C(C)C
"2,4-Dimethylpentane",-4.26,CC(C)CC(C)C
"2,4-Dimethylphenol",-1.19,Cc1ccc(O)c(C)c1
"2,4-Dimethylpyridine",0.38,Cc1ccnc(C)c1
"2,4-Dinitrotoluene",-2.82,Cc1ccc(cc1N(=O)=O)N(=O)=O
"2,4'-PCB",-5.28,Clc1ccc(cc1)c2ccccc2Cl 
"2,6-Dichlorophenol",-1.79,Oc1c(Cl)cccc1Cl
"2,6-Dimethylnaphthalene ",-4.89,Cc1ccc2cc(C)ccc2c1
"2,6-Dimethylphenol",-1.29,Cc1cccc(C)c1O
"2,6-Dimethylpyridine",0.45,Cc1cccc(C)n1
"2,6-Dinitrotoluene",-3.0,Cc1c(cccc1N(=O)=O)N(=O)=O
"2,6-PCB",-5.21,Clc1cccc(Cl)c1c2ccccc2 
"2,7-dimethylquinoline",-1.94,c2c(C)cc1nc(C)ccc1c2 
2-aminoanthracene,-5.17,Nc3ccc2cc1ccccc1cc2c3 
2-bromonaphthalene,-4.4,c1c(Br)ccc2ccccc12 
2-Bromonapthalene,-4.4,Brc1ccc2ccccc2c1
2-Bromopropane,-1.59,CC(C)Br
2-Bromotoluene,-2.23,Cc1ccccc1Br
2-Butanone,0.52,CCC(=O)C
2-butenal,0.32,CC=CC=O
2-Butoxyethanol,-0.42,CCCCOCCO
2-Chloro-2-methylbutane,-2.51,CCC(C)(C)Cl
2-Chloroanisole,-2.46,COc1ccccc1Cl
2-Chlorobiphenyl,-4.54,Clc1ccccc1c2ccccc2
2-Chlorobutane,-1.96,CCC(C)Cl
2-Chloronapthalene,-4.14,Clc1ccc2ccccc2c1
2-Chlorophenol,-1.06,Oc1ccccc1Cl
2-Chloropropane,-1.41,CC(C)Cl
2-Chlorotoluene,-3.52,Cc1ccccc1Cl
2-cyanoguanidine,-0.31,NC(N)=NC#N 
2-Decanone,-3.3,CCCCCCCCC(=O)C
2-Ethyl pyridine,0.51,CCc1ccccn1
2-Ethyl-1-butanol,-1.17,CCC(CC)CO
2-Ethyl-1-hexanol,-2.11,CCCCC(CC)CO
2-Ethyl-2-hexanal,-2.46,CCCC=C(CC)C=O
2-Ethylbutanal,-1.52,CCC(CC)C=O
2-Ethylhexanal,-2.13,CCCCC(CC)C=O
2-Ethylnaphthalene,-4.29,CCc1ccc2ccccc2c1
2-Ethyltoluene,-3.21,CCc1ccccc1C
2-Heptanol ,-1.55,CCCCCC(C)O
2-Heptanone,-1.45,CCCCCC(=O)C
2-Hexanol,-0.89,CCCCC(C)O
2-Hexanone,-0.8,CCCCC(=O)C
2-hydroxypteridine,-1.947,Oc2ncc1nccnc1n2
2-Hydroxypyridine,1.02,Oc1ccccn1
2-Iodopropane,-2.09,CC(C)I
2-Isopropyltoluene,-3.76,CC(C)c1ccccc1C
2-methoxypteridine,-1.11,COc2ncc1nccnc1n2
2-Methy-2-Butene,-2.56,CC=C(C)C
"2-Methyl-1,3-Butadiene ",-2.03,CC(=C)C=C
2-Methyl-1-Butene,-2.73,CCC(=C)C
2-Methyl-1-Pentene,-3.03,CCCC(=C)C
2-Methyl-2-heptanol,-1.72,CCCCCC(C)(C)O
2-Methyl-2-hexanol,-1.08,CCCCC(C)(C)O
2-Methyl-2-pentanol,-0.49,CCCC(C)(C)O
2-Methyl-3-pentanol,-0.7,CCC(O)C(C)C
2-Methylanthracene,-6.96,Cc1ccc2cc3ccccc3cc2c1
2-Methylbutan-2-ol,0.15,CCC(C)(C)O
2-Methylbutane,-3.18,CCC(C)C
2-Methylbutanol,-0.47,CCC(C)CO
2-Methylheptane,-5.08,CCCCCC(C)C
2-Methylnapthalene,-3.77,Cc1ccc2ccccc2c1
2-Methylpentane,-3.74,CCCC(C)C
2-Methylpentanol,-1.11,CCCC(C)CO
2-Methylphenanthrene,-5.84,Cc1ccc2c(ccc3ccccc32)c1
2-Methylphenol,-0.62,Cc1ccccc1O
2-Methylpropan-1-ol,0.1,CC(C)CO
2-Methylpropane,-2.55,CC(C)C
2-Methylpropene,-2.33,CC(=C)C
2-methylpteridine,-0.12,Cc2ncc1nccnc1n2
2-Methyltetrahydrofurane,0.11,CC1CCCO1
2-Napthol,-2.28,Oc1ccc2ccccc2c1
2-Nitropropane,-0.62,CC(C)N(=O)=O
2-Nonanol,-2.74,CCCCCCCC(C)O
2-Nonanone,-2.58,CCCCCCCC(=O)C
2-Octanol,-2.09,CCCCCCC(C)O
2-Octanone,-2.05,CCCCCCC(=O)C
2-Pentanol,-0.29,CCCC(C)O
2-Pentanone,-0.19,CCCC(=O)C
2-Phenoxyethanol,-0.7,OCCOc1ccccc1
2-Propanol,0.43,CC(C)O
2-pyrrolidone,1.07,O=C1CCCN1
2-Undecanol,-2.94,CCCCCCCCCC(C)O
"3,3-Dimethyl-1-butanol",-0.5,CC(C)(C)CCO
"3,3-Dimethyl-2-butanol",-0.62,CC(O)C(C)(C)C
"3,3-Dimethyl-2-butanone",-0.72,CC(=O)C(C)(C)C
"3,3-Dimethylpentane",-4.23,CCC(C)(C)CC
"3,4-Dichloronitrobenzene",-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1
"3,4-Dichlorophenol",-1.25,Oc1ccc(Cl)c(Cl)c1
"3,4-Dimethylphenol",-1.38,Cc1ccc(O)cc1C
"3,4-Dimethylpyridine",0.36,Cc1ccncc1C
"3,4-PCB",-6.39,Clc1ccc(cc1Cl)c2ccccc2 
"3,5-Dichlorophenol",-1.34,Oc1cc(Cl)cc(Cl)c1
"3,5-Dimethylphenol",-1.4,Cc1cc(C)cc(O)c1
"3,5-Dimethylpyridine",0.38,Cc1cncc(C)c1
3-Butanoyloxymethylphenytoin,-5.071,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Chloroanisole,-2.78,COc1cccc(Cl)c1
3-Chlorobiphenyl,-4.88,c1c(Cl)cccc1c2ccccc2
3-Chlorophenol,-0.7,Oc1cccc(Cl)c1
3-chloropropionitrile,-0.29,ClCCC#N 
3-Ethanoyloxymethylphenytoin,-4.47,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Ethyl-3-pentanol,-0.85,CCC(O)(CC)CC
3-Heptanol ,-1.47,CCCCC(O)CC
3-Heptanoyloxymethylphenytoin,-6.301,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Hexanol,-0.8,CCCC(O)CC
3-Hexanone,-0.83,CCCC(=O)CC
3-Hexanoyloxymethylphenyltoin,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Hexyne,-1.99,CCC#CCC
3-Methyl-1-Butene,-2.73,CC(C)C=C
3-Methyl-2-butanol,-0.18,CC(C)C(C)O
3-Methyl-2-butanone,-0.12,CC(C)C(=O)C
3-Methyl-2-pentanol,-0.72,CCC(C)CCO
3-Methyl-2-pentanone,-0.67,CCC(C)C(=O)C
3-Methyl-3-heptanol,-1.6,CCCCC(C)(O)CC
3-Methyl-3-hexanol,-0.98,CCCC(C)(O)CC
3-Methyl-3-pentanol,-0.36,CCC(C)(O)CC
3-Methylbutan-1-ol,-0.51,CC(C)CCO
3-Methylcholanthrene,-7.92,c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2
3-Methylheptane,-5.16,CCCCC(C)CC
3-methylindole,-2.42,Cc1c[nH]c2ccccc12 
3-Methylpentane,-3.68,CCC(C)CC
3-Methylphenol,-0.68,Cc1cccc(O)c1
3-Octanol,-1.98,CCCCCC(O)CC
3-Octanoyloxymethylphenytoin,-6.523,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Pentanol,-0.24,CCC(O)CC
3-Pentanone,-0.28,CCC(=O)CC
3-Pentanoyloxymethylphenytoin,-4.678,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
3-Propanoyloxymethylphenytoin,-4.907,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
"4,4'-PCB",-6.56,Clc1ccc(cc1)c2ccc(Cl)cc2 
4-Bromophenol,-1.09,Oc1ccc(Br)cc1
4-Bromotoluene,-3.19,Cc1ccc(Br)cc1
4-Chloroanisole,-2.78,COc1ccc(Cl)cc1
4-Chlorophenol ,-0.7,Oc1ccc(Cl)cc1
4-Chlorotoluene,-3.08,Cc1ccc(Cl)cc1
4-Ethyltoluene,-3.11,CCc1ccc(C)cc1
4-Heptanol,-1.4,CCCC(O)CCC
4-Heptanone,-1.3,CCCC(=O)CCC
4-hexylresorcinol,-2.59,c1(O)cc(O)ccc1CCCCCC
4-hydroxypyridine,1.02,Oc1ccncc1
4-Isopropyltoluene,-3.77,CC(C)c1ccc(C)cc1
4-methoxypteridine,-1.11,COc1ncnc2nccnc12 
4-Methyl-2-pentanol,-0.8,CC(C)CC(C)O
4-Methyl-2-pentanone,-0.74,CC(C)CC(=O)C
4-Methylbiphenyl,-4.62,Cc1ccc(cc1)c2ccccc2
4-Methylpentanol,-1.14,CC(C)CCCO
4-methylpteridine,-0.466,Cc1ncnc2nccnc12
4-Nitroacetanilide,-2.692,CC(=O)Nc1ccc(cc1)N(=O)=O
4-Pentene-1-ol,-0.15,OCCCC=C
5-(3-Methyl-2-butenyl)-5-ethylbarbital,-2.253,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C
5-(3-Methyl-2-butenyl)-5-isoPrbarbital,-2.593,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C
"5,5-Diallylbarbital",-2.077,O=C1NC(=O)NC(=O)C1(CC=C)CC=C
"5,5-Diisopropylbarbital",-2.766,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
"5,5-Dimethylbarbituric acid",-1.742,O=C1NC(=O)NC(=O)C1(C)C
"5,6,7,8-tetrahydro-2-naphthol",-1.99,Oc2ccc1CCCCc1c2 
"5,6-Dimethylchrysene",-7.01,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
5-Allyl-5-ethylbarbital,-1.614,O=C1NC(=O)NC(=O)C1(CC)CC=C
5-Allyl-5-isopropylbarbital,-1.708,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
5-Allyl-5-methylbarbital,-1.16,O=C1NC(=O)NC(=O)C1(C)CC=C
5-Allyl-5-phenylbarbital,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
5-Ethyl-5-(3-methylbutyl)barbital,-2.658,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C
5-Ethyl-5-isopropylbarbituric acid,-2.148,O=C1NC(=O)NC(=O)C1(CC)C(C)C
5-Ethyl-5-phenylbarbital,-2.322,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1
5-fluorouracil,-1.077,Fc1c[nH]c(=O)[nH]c1=O 
5-hydroxyquinoline,-2.54,Oc1cccc2ncccc12 
5-Methyl-5-ethylbarbituric acid,-1.228,O=C1NC(=O)NC(=O)C1(C)CC
5-Methylchrysene,-6.59,c1cccc2c3c(C)cc4ccccc4c3ccc12
5-methylcytosine,-1.458,Nc1c(C)c[nH]c(=O)n1 
5-Nonanone,-2.58,CCCCC(=O)CCCC
6-aminochrysene,-6.2,Nc3cc2c1ccccc1ccc2c4ccccc34 
6-hydroxyquinoline,-2.16,Oc2ccc1ncccc1c2 
6-methoxypteridine,-1.139,COc2cnc1ncncc1n2
6-Methylchrysene,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14
"7,12-Dimethylbenz(a)anthracene",-7.02,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
7-methoxypteridine,-0.91,COc2cnc1cncnc1n2
7-methylpteridine,-0.854,Cc2cnc1cncnc1n2
8-quinolinol,-2.42,Oc1cccc2cccnc12 
"9,10-Dimethylanthracene",-6.57,Cc1c2ccccc2c(C)c3ccccc13
9-anthrol,-4.73,c3ccc2c(O)c1ccccc1cc2c3 
9-Methylanthracene,-5.89,Cc1c2ccccc2cc3ccccc13
Abate,-6.237,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
Acenapthene,-4.63,C1Cc2cccc3cccc1c23
Acenapthylene,-3.96,C1=Cc2cccc3cccc1c23
Acephate,0.54,COP(=O)(NC(C)=O)SC 
Acetamide,1.58,CC(=O)N
Acetanilide,-1.33,CC(=O)Nc1ccccc1
acetazolamide,-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O 
Acetonitrile,0.26,CC#N
Acetophenone,-1.28,CC(=O)c1ccccc1
acetyl sulfisoxazole,-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C 
Acridine,-3.67,c3ccc2nc1ccccc1cc2c3
Acrolein,0.57,C=CC=O
Acrylonitrile,0.15,C=CC#N
adenine,-2.12,Nc1ncnc2nc[nH]c12 
adrenosterone,-3.48,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) 
alachlor,-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl 
aldosterone,-3.85,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O 
Aldrin,-6.307,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
allantoin,-1.6,NC(=O)NC1NC(=O)NC1=O 
allicin,-0.83,C=CCS(=O)SCC=C
allopurinol,-2.266,O=c1[nH]cnc2[nH]ncc12 
alloxan,-1.25,O=C1NC(=O)C(=O)C(=O)N1 
alloxantin,-1.99,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)
Altretamine,-3.364,CN(C)c1nc(nc(n1)N(C)C)N(C)C
Ametryn,-3.04,CCNc1nc(NC(C)C)nc(SC)n1
Amigdalin,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
Aminocarb,-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
aminopyrine,-0.364,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O 
aminothiazole,-0.36,Nc1nccs1 
Amitraz,-5.47,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
Amitrole,0.522,Nc1nc[nH]n1
Amobarbital,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
ampyrone,-0.624,Cc2c(N)c(=O)n(c1ccccc1)n2C
Ancymidol,-2.596,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 
Androstenedione,-3.69,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O
Androsterone,-4.402,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
